ticker,event_date,setup_type,spike_return,vol_x_sma50
SRE,2018-06-11,s03_catalyst_rerating,0.1554,5.4
SW,2016-09-06,s03_catalyst_rerating,0.1355,5.56
SW,2020-03-27,s03_catalyst_rerating,0.1168,4.79
SW,2022-10-10,s03_catalyst_rerating,0.1295,5.44
SWK,2025-04-09,s03_catalyst_rerating,0.1497,3.3
SBUX,2024-08-13,s03_catalyst_rerating,0.245,10.57
SMCI,2024-11-19,s03_catalyst_rerating,0.3124,3.23
SYF,2024-11-06,s03_catalyst_rerating,0.1881,3.1
TMUS,2020-02-11,s03_catalyst_rerating,0.1178,8.05
TTWO,2018-10-30,s03_catalyst_rerating,0.11,3.7
TPR,2024-10-25,s03_catalyst_rerating,0.1354,5.94
TRGP,2020-03-19,s03_catalyst_rerating,0.351,3.49
TRGP,2021-06-04,s03_catalyst_rerating,0.1228,6.1
TSLA,2020-02-03,s03_catalyst_rerating,0.1989,3.27
TXN,2025-04-09,s03_catalyst_rerating,0.1609,3.02
TPL,2016-09-08,s03_catalyst_rerating,0.1926,20.86
TPL,2020-03-10,s03_catalyst_rerating,0.128,3.74
TPL,2020-11-09,s03_catalyst_rerating,0.1556,4.16
TPL,2024-06-10,s03_catalyst_rerating,0.2426,7.36
TPL,2024-11-22,s03_catalyst_rerating,0.1415,6.26
TKO,2017-10-26,s03_catalyst_rerating,0.1323,4.98
TKO,2018-05-17,s03_catalyst_rerating,0.1542,11.01
TKO,2020-04-24,s03_catalyst_rerating,0.1464,3.18
TKO,2021-06-09,s03_catalyst_rerating,0.1089,8.6
TKO,2023-01-06,s03_catalyst_rerating,0.1698,10.99
TKO,2024-01-23,s03_catalyst_rerating,0.1579,7.51
TTD,2017-02-28,s03_catalyst_rerating,0.1461,11.97
TTD,2021-06-24,s03_catalyst_rerating,0.1604,3.29
TTD,2026-03-05,s03_catalyst_rerating,0.1836,5.13
TRMB,2020-03-19,s03_catalyst_rerating,0.1881,4.18
TFC,2024-11-06,s03_catalyst_rerating,0.1106,4.26
UBER,2021-09-21,s03_catalyst_rerating,0.1149,4.27
UBER,2024-10-11,s03_catalyst_rerating,0.1081,3.62
ULTA,2016-10-13,s03_catalyst_rerating,0.1137,4.75
ULTA,2020-11-09,s03_catalyst_rerating,0.1497,3.98
ULTA,2024-08-15,s03_catalyst_rerating,0.1117,4.8
UNP,2023-02-27,s03_catalyst_rerating,0.1009,3.91
UAL,2020-03-13,s03_catalyst_rerating,0.123,3.51
UAL,2025-04-09,s03_catalyst_rerating,0.2614,3.6
URI,2016-11-09,s03_catalyst_rerating,0.1712,4.6
URI,2024-11-06,s03_catalyst_rerating,0.1032,3.38
URI,2025-04-09,s03_catalyst_rerating,0.1072,3.12
UNH,2020-03-04,s03_catalyst_rerating,0.1072,3.2
UNH,2025-08-15,s03_catalyst_rerating,0.1198,4.21
VLO,2020-11-09,s03_catalyst_rerating,0.312,3.65
VEEV,2026-05-01,s03_catalyst_rerating,0.1002,3.41
VTR,2020-03-13,s03_catalyst_rerating,0.2178,3.23
VRSN,2018-11-02,s03_catalyst_rerating,0.172,4.82
VRTX,2017-03-29,s03_catalyst_rerating,0.2045,7.67
VRTX,2017-07-19,s03_catalyst_rerating,0.2083,8.29
VRTX,2018-06-29,s03_catalyst_rerating,0.1516,3.94
VRTX,2023-12-13,s03_catalyst_rerating,0.1323,4.34
VRT,2023-05-25,s03_catalyst_rerating,0.1398,6.99
VTRS,2017-10-04,s03_catalyst_rerating,0.162,4.66
VTRS,2018-11-06,s03_catalyst_rerating,0.1613,5.34
VTRS,2019-07-29,s03_catalyst_rerating,0.1257,7.91
VTRS,2020-11-19,s03_catalyst_rerating,0.1186,4.2
VST,2021-10-13,s03_catalyst_rerating,0.1104,4.01
VST,2023-03-06,s03_catalyst_rerating,0.1387,4.92
