ticker,event_date,setup_type,pct_of_52wk_high
XLB,2023-08-29,s04_sector_rebound_placebo,0.9652
XLB,2024-01-18,s04_sector_rebound_placebo,0.9529
XLB,2024-02-01,s04_sector_rebound_placebo,0.9695
XLB,2024-02-15,s04_sector_rebound_placebo,0.9827
XLB,2024-04-26,s04_sector_rebound_placebo,0.962
XLB,2024-05-24,s04_sector_rebound_placebo,0.9817
XLB,2024-06-24,s04_sector_rebound_placebo,0.9695
XLB,2024-07-11,s04_sector_rebound_placebo,0.9678
XLB,2024-07-25,s04_sector_rebound_placebo,0.9702
XLB,2024-08-15,s04_sector_rebound_placebo,0.9767
XLB,2024-09-09,s04_sector_rebound_placebo,0.9627
XLB,2024-11-06,s04_sector_rebound_placebo,0.9728
XLB,2024-11-25,s04_sector_rebound_placebo,0.9737
XLB,2025-11-26,s04_sector_rebound_placebo,0.9538
XLB,2026-04-08,s04_sector_rebound_placebo,0.9694
XLB,2026-05-05,s04_sector_rebound_placebo,0.9653
XLB,2026-05-26,s04_sector_rebound_placebo,0.9552
XLB,2026-06-11,s04_sector_rebound_placebo,0.9595
XLRE,2017-07-13,s04_sector_rebound_placebo,0.952
XLRE,2017-08-14,s04_sector_rebound_placebo,0.9916
XLRE,2017-10-05,s04_sector_rebound_placebo,0.9786
XLRE,2017-11-02,s04_sector_rebound_placebo,0.9864
XLRE,2017-12-06,s04_sector_rebound_placebo,0.9729
XLRE,2017-12-28,s04_sector_rebound_placebo,0.9812
XLRE,2018-09-20,s04_sector_rebound_placebo,0.9865
XLRE,2018-10-30,s04_sector_rebound_placebo,0.968
XLRE,2019-01-16,s04_sector_rebound_placebo,0.9501
XLRE,2019-04-18,s04_sector_rebound_placebo,0.9681
XLRE,2019-05-10,s04_sector_rebound_placebo,0.9839
XLRE,2019-05-30,s04_sector_rebound_placebo,0.9842
XLRE,2019-07-23,s04_sector_rebound_placebo,0.9702
XLRE,2019-08-06,s04_sector_rebound_placebo,0.9809
XLRE,2019-10-30,s04_sector_rebound_placebo,0.9821
XLRE,2019-12-26,s04_sector_rebound_placebo,0.9633
XLRE,2020-03-04,s04_sector_rebound_placebo,0.9561
XLRE,2021-03-08,s04_sector_rebound_placebo,0.9583
XLRE,2021-09-22,s04_sector_rebound_placebo,0.9631
XLRE,2021-10-18,s04_sector_rebound_placebo,0.955
XLRE,2021-12-02,s04_sector_rebound_placebo,0.978
XLRE,2024-02-01,s04_sector_rebound_placebo,0.958
XLRE,2024-02-29,s04_sector_rebound_placebo,0.9657
XLRE,2024-03-27,s04_sector_rebound_placebo,0.9765
XLRE,2024-10-11,s04_sector_rebound_placebo,0.9642
XLRE,2024-10-30,s04_sector_rebound_placebo,0.9762
XLRE,2024-11-22,s04_sector_rebound_placebo,0.9788
XLRE,2024-12-09,s04_sector_rebound_placebo,0.9701
XLRE,2025-09-22,s04_sector_rebound_placebo,0.9533
XLRE,2025-10-15,s04_sector_rebound_placebo,0.9585
XLRE,2025-11-11,s04_sector_rebound_placebo,0.954
XLRE,2025-11-28,s04_sector_rebound_placebo,0.9533
XLRE,2025-12-30,s04_sector_rebound_placebo,0.9631
XLRE,2026-04-08,s04_sector_rebound_placebo,0.9724
XLRE,2026-06-22,s04_sector_rebound_placebo,0.979
XLC,2019-06-27,s04_sector_rebound_placebo,0.9505
XLC,2019-08-08,s04_sector_rebound_placebo,0.9702
XLC,2019-09-04,s04_sector_rebound_placebo,0.9666
XLC,2019-09-25,s04_sector_rebound_placebo,0.9752
XLC,2019-10-11,s04_sector_rebound_placebo,0.9643
XLC,2020-11-04,s04_sector_rebound_placebo,0.9637
XLC,2021-01-13,s04_sector_rebound_placebo,0.9698
XLC,2021-05-13,s04_sector_rebound_placebo,0.9554
XLC,2023-08-23,s04_sector_rebound_placebo,0.9677
XLC,2023-10-06,s04_sector_rebound_placebo,0.9748
XLC,2023-10-23,s04_sector_rebound_placebo,0.9742
XLC,2024-04-18,s04_sector_rebound_placebo,0.9703
XLC,2024-05-06,s04_sector_rebound_placebo,0.9818
XLC,2024-07-30,s04_sector_rebound_placebo,0.9657
XLC,2024-08-13,s04_sector_rebound_placebo,0.9764
XLC,2024-09-12,s04_sector_rebound_placebo,0.9801
XLC,2025-01-21,s04_sector_rebound_placebo,0.9644
XLC,2025-03-05,s04_sector_rebound_placebo,0.9635
XLC,2025-10-13,s04_sector_rebound_placebo,0.9567
XLC,2025-11-28,s04_sector_rebound_placebo,0.9697
XLC,2026-01-22,s04_sector_rebound_placebo,0.9801
XLC,2026-02-09,s04_sector_rebound_placebo,0.9734
XLC,2026-02-26,s04_sector_rebound_placebo,0.972
XLC,2026-04-13,s04_sector_rebound_placebo,0.9592
XLY,2016-05-16,s04_sector_rebound_placebo,0.9692
XLY,2016-06-23,s04_sector_rebound_placebo,0.9789
XLY,2016-10-24,s04_sector_rebound_placebo,0.9794
XLY,2016-11-10,s04_sector_rebound_placebo,0.9685
XLY,2017-05-18,s04_sector_rebound_placebo,0.9757
XLY,2017-06-26,s04_sector_rebound_placebo,0.977
XLY,2017-07-13,s04_sector_rebound_placebo,0.9776
XLY,2017-08-14,s04_sector_rebound_placebo,0.9827
XLY,2017-09-01,s04_sector_rebound_placebo,0.9781
XLY,2017-09-27,s04_sector_rebound_placebo,0.9791
XLY,2018-03-05,s04_sector_rebound_placebo,0.9567
XLY,2018-04-17,s04_sector_rebound_placebo,0.9558
XLY,2018-05-04,s04_sector_rebound_placebo,0.9571
XLY,2019-05-15,s04_sector_rebound_placebo,0.9591
XLY,2019-06-10,s04_sector_rebound_placebo,0.9676
XLY,2019-08-08,s04_sector_rebound_placebo,0.9593
XLY,2019-08-29,s04_sector_rebound_placebo,0.9664
XLY,2019-09-25,s04_sector_rebound_placebo,0.9721
XLY,2019-10-10,s04_sector_rebound_placebo,0.9611
XLY,2019-11-14,s04_sector_rebound_placebo,0.9765
XLY,2019-12-04,s04_sector_rebound_placebo,0.9744
