ticker,event_date,setup_type,consolidation_days,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
AFL,2025-12-09,s02_consolidation,15,2025-12-10,106.91536924937024,90,,2026-04-22,114.15885925292969,0.06774975435631392,0.06474975435631392,False,0.06474975435631392,False,0.06474975435631392,0.04790732823131316,0.016842426125000753
BR,2025-12-02,s02_consolidation,16,2025-12-03,223.55065891526218,30,,2026-01-16,215.9810028076172,-0.0338610324137506,-0.036861032413750605,False,-0.036861032413750605,True,-0.03782275829856707,0.019298144008766505,-0.05615917642251711
BR,2025-12-02,s02_consolidation,16,2025-12-03,223.55065891526218,60,,2026-03-03,185.22958374023438,-0.17142009493943633,-0.17442009493943633,True,-0.10299999999999998,True,-0.03782275829856707,0.00260127216824535,-0.17702136710768168
BR,2025-12-02,s02_consolidation,16,2025-12-03,223.55065891526218,90,,2026-04-15,159.7475128173828,-0.2854079983815401,-0.2884079983815401,True,-0.10299999999999998,True,-0.03782275829856707,0.03431744356913646,-0.32272544195067654
ACN,2025-11-20,s02_consolidation,17,2025-11-21,239.84602976644038,30,,2026-01-07,271.6761169433594,0.13271050268338747,0.12971050268338746,False,0.12971050268338746,False,0.12971050268338746,0.055824281821388766,0.0738862208619987
ACN,2025-11-20,s02_consolidation,17,2025-11-21,239.84602976644038,60,,2026-02-20,213.53912353515625,-0.10968247528175279,-0.11268247528175279,True,-0.10299999999999998,True,-0.054417583968057404,0.055594672190373284,-0.16827714747212608
ACN,2025-11-20,s02_consolidation,17,2025-11-21,239.84602976644038,90,,2026-04-06,197.2770233154297,-0.17748472423105754,-0.18048472423105755,True,-0.10299999999999998,True,-0.054417583968057404,0.011651015218157923,-0.19213573944921547
ARES,2025-11-13,s02_consolidation,18,2025-11-14,141.9639005248768,30,,2025-12-30,159.4314727783203,0.12304235223786764,0.12004235223786763,False,0.12004235223786763,False,0.12004235223786763,0.03555862611048832,0.08448372612737931
ARES,2025-11-13,s02_consolidation,18,2025-11-14,141.9639005248768,60,,2026-02-12,130.82308959960938,-0.07847636535821434,-0.08147636535821434,True,-0.10299999999999998,True,-0.07493756075796543,0.026906580667761082,-0.10838294602597542
ARES,2025-11-13,s02_consolidation,18,2025-11-14,141.9639005248768,90,,2026-03-27,105.22002410888672,-0.25882549211552086,-0.26182549211552086,True,-0.10299999999999998,True,-0.07493756075796543,-0.04159955414215233,-0.22022593797336854
AMP,2025-10-09,s02_consolidation,16,2025-10-10,488.2881231651289,30,,2025-11-21,444.6174011230469,-0.08943637981404173,-0.09243637981404174,True,-0.10299999999999998,True,-0.040737069934486336,-0.0194901400679226,-0.07294623974611913
AMP,2025-10-09,s02_consolidation,16,2025-10-10,488.2881231651289,60,,2026-01-07,494.7655334472656,0.01326554952872816,0.01026554952872816,True,-0.10299999999999998,True,-0.040737069934486336,0.028993921268591016,-0.018728371739862856
AMP,2025-10-09,s02_consolidation,16,2025-10-10,488.2881231651289,90,,2026-02-20,469.9736022949219,-0.03750761077597098,-0.04050761077597098,True,-0.10299999999999998,True,-0.040737069934486336,0.02877014642400022,-0.0692777571999712
AVB,2025-10-07,s02_consolidation,18,2025-10-08,182.6514884502441,30,,2025-11-19,173.3646240234375,-0.05084472349830549,-0.05384472349830549,True,-0.10299999999999998,True,-0.03299569328988372,-0.011368872124360774,-0.04247585137394472
AVB,2025-10-07,s02_consolidation,18,2025-10-08,182.6514884502441,60,,2026-01-05,178.2937469482422,-0.02385823153688127,-0.02685823153688127,True,-0.10299999999999998,True,-0.03299569328988372,0.02909675747719742,-0.05595498901407869
AVB,2025-10-07,s02_consolidation,18,2025-10-08,182.6514884502441,90,,2026-02-18,176.09820556640625,-0.0358786174667447,-0.0388786174667447,True,-0.10299999999999998,True,-0.03299569328988372,0.026956945539232002,-0.0658355630059767
AMD,2025-09-30,s02_consolidation,16,2025-10-01,160.92999267578125,30,,2025-11-12,258.8900146484375,0.6087120265394661,0.6057120265394661,False,0.6057120265394661,False,0.6057120265394661,0.03047477479888827,0.5752372517405778
AMD,2025-09-30,s02_consolidation,16,2025-10-01,160.92999267578125,60,,2025-12-26,214.99000549316406,0.33592254568913815,0.33292254568913815,False,0.33292254568913815,False,0.33292254568913815,0.04400044883890675,0.2889220968502314
AMD,2025-09-30,s02_consolidation,16,2025-10-01,160.92999267578125,90,,2026-02-10,213.57000732421875,0.32709884449251847,0.32409884449251847,False,0.32409884449251847,False,0.32409884449251847,0.04673780309904685,0.2773610413934716
BKNG,2025-09-30,s02_consolidation,24,2025-10-01,212.65028059196533,30,,2025-11-12,205.64059448242188,-0.03296344632149195,-0.035963446321491954,False,-0.035963446321491954,True,-0.04764715508119999,0.03047477479888827,-0.06643822112038023
BKNG,2025-09-30,s02_consolidation,24,2025-10-01,212.65028059196533,60,,2025-12-26,216.56588745117188,0.01841336323801923,0.015413363238019232,True,-0.10299999999999998,True,-0.04764715508119999,0.04400044883890675,-0.028587085600887515
BKNG,2025-09-30,s02_consolidation,24,2025-10-01,212.65028059196533,90,,2026-02-10,170.42739868164062,-0.19855549587231547,-0.20155549587231547,True,-0.10299999999999998,True,-0.04764715508119999,0.04673780309904685,-0.24829329897136232
BDX,2025-09-24,s02_consolidation,19,2025-09-25,142.85219264543457,30,,2025-11-06,136.85757446289062,-0.041963781385021215,-0.04496378138502122,True,-0.10299999999999998,True,-0.04119599245220762,0.018801050874640568,-0.06376483225966179
BDX,2025-09-24,s02_consolidation,19,2025-09-25,142.85219264543457,60,,2025-12-19,151.7203369140625,0.06207916101532329,0.05907916101532329,True,-0.10299999999999998,True,-0.04119599245220762,0.03748226453782544,0.02159689647749785
BDX,2025-09-24,s02_consolidation,19,2025-09-25,142.85219264543457,90,,2026-02-04,161.2460174560547,0.1287612354419676,0.1257612354419676,True,-0.10299999999999998,True,-0.04119599245220762,0.046018792453841995,0.0797424429881256
AES,2025-09-23,s02_consolidation,15,2025-09-24,12.686305704688811,30,,2025-11-05,13.882425308227539,0.09428431186997543,0.09128431186997543,False,0.09128431186997543,False,0.09128431186997543,0.019668790251468726,0.0716155216185067
AES,2025-09-23,s02_consolidation,15,2025-09-24,12.686305704688811,60,,2025-12-18,13.355244636535645,0.052729214273907754,0.04972921427390775,False,0.04972921427390775,False,0.04972921427390775,0.017998183290180325,0.031731030983727426
AES,2025-09-23,s02_consolidation,15,2025-09-24,12.686305704688811,90,,2026-02-03,15.894025802612305,0.2528490304894617,0.24984903048946172,False,0.24984903048946172,False,0.24984903048946172,0.040718030476001754,0.20913100001345997
LNT,2025-09-23,s02_consolidation,18,2025-09-24,63.509216333019715,30,,2025-11-05,65.81806945800781,0.03635461525585981,0.03335461525585981,False,0.03335461525585981,False,0.03335461525585981,0.019668790251468726,0.013685825004391083
LNT,2025-09-23,s02_consolidation,18,2025-09-24,63.509216333019715,60,,2025-12-18,64.67598724365234,0.01837167860038602,0.015371678600386022,False,0.015371678600386022,False,0.015371678600386022,0.017998183290180325,-0.0026265046897943033
LNT,2025-09-23,s02_consolidation,18,2025-09-24,63.509216333019715,90,,2026-02-03,66.03564453125,0.039780497132614556,0.036780497132614554,False,0.036780497132614554,False,0.036780497132614554,0.040718030476001754,-0.003937533343387201
BMY,2025-09-17,s02_consolidation,18,2025-09-18,44.485163437106664,30,,2025-10-30,44.62702560424805,0.0031889770921478267,0.0001889770921478266,False,0.0001889770921478266,True,-0.044625452825473255,0.02995185933782496,-0.029762882245677132
BMY,2025-09-17,s02_consolidation,18,2025-09-18,44.485163437106664,60,,2025-12-12,51.26923370361328,0.1525018622466785,0.1495018622466785,False,0.1495018622466785,True,-0.044625452825473255,0.03287580829366821,0.11662605395301029
BMY,2025-09-17,s02_consolidation,18,2025-09-18,44.485163437106664,90,,2026-01-28,54.06256103515625,0.2152941982913057,0.2122941982913057,False,0.2122941982913057,True,-0.044625452825473255,0.05668397479244969,0.155610223498856
ADBE,2025-09-16,s02_consolidation,24,2025-09-17,353.17999267578125,30,,2025-10-29,337.8599853515625,-0.04337733632120688,-0.046377336321206886,False,-0.046377336321206886,True,-0.06228361268891214,0.04437163092172569,-0.09074896724293258
ADBE,2025-09-16,s02_consolidation,24,2025-09-17,353.17999267578125,60,,2025-12-11,350.42999267578125,-0.007786398032247788,-0.010786398032247787,True,-0.10299999999999998,True,-0.06228361268891214,0.04707595346918647,-0.05786235150143426
