ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct
DFDVW,2026-04-23,s09_short_squeeze_candidate,2026-04-15,45.07,-0.731
DFH,2022-07-23,s09_short_squeeze_candidate,2022-07-15,23.54,-0.3346
DFSCW,2026-04-23,s09_short_squeeze_candidate,2026-04-15,318.21,-0.5769
DLO,2025-05-08,s09_short_squeeze_candidate,2025-04-30,22.53,-0.3679
DMAC,2026-05-08,s09_short_squeeze_candidate,2026-04-30,34.7,-0.3046
DMRC,2022-01-08,s09_short_squeeze_candidate,2021-12-31,23.48,-0.2619
DMRC,2022-04-22,s09_short_squeeze_candidate,2022-04-14,22.11,-0.2774
DMRC,2022-07-23,s09_short_squeeze_candidate,2022-07-15,21.21,-0.4886
DMRC,2022-10-22,s09_short_squeeze_candidate,2022-10-14,40.6,-0.3565
DNTH,2025-06-07,s09_short_squeeze_candidate,2025-05-30,23.52,-0.2855
DOYU,2022-07-23,s09_short_squeeze_candidate,2022-07-15,20.44,-0.3862
DOYU,2022-10-22,s09_short_squeeze_candidate,2022-10-14,26.17,-0.373
DOYU,2023-04-22,s09_short_squeeze_candidate,2023-04-14,34.35,-0.4286
DRIO,2023-10-21,s09_short_squeeze_candidate,2023-10-13,20.61,-0.3783
DRIO,2024-07-06,s09_short_squeeze_candidate,2024-06-28,20.42,-0.3737
DSGN,2021-07-23,s09_short_squeeze_candidate,2021-07-15,22.09,-0.3684
DSGN,2022-01-22,s09_short_squeeze_candidate,2022-01-14,27.42,-0.2597
DSGN,2022-05-07,s09_short_squeeze_candidate,2022-04-29,21.73,-0.3927
DSGN,2023-03-08,s09_short_squeeze_candidate,2023-02-28,22.1,-0.495
DSGN,2023-06-08,s09_short_squeeze_candidate,2023-05-31,41.05,-0.2631
DSGN,2025-04-08,s09_short_squeeze_candidate,2025-03-31,35.66,-0.4204
DSGN,2025-07-08,s09_short_squeeze_candidate,2025-06-30,41.32,-0.3066
DXLG,2025-11-22,s09_short_squeeze_candidate,2025-11-14,22.76,-0.3826
DYAI,2023-01-21,s09_short_squeeze_candidate,2023-01-13,24.12,-0.2974
DYN,2022-06-23,s09_short_squeeze_candidate,2022-06-15,20.32,-0.4743
DYN,2023-05-06,s09_short_squeeze_candidate,2023-04-28,22.41,-0.3093
EEIQ,2025-05-08,s09_short_squeeze_candidate,2025-04-30,23.17,-0.3824
EFTR,2022-04-22,s09_short_squeeze_candidate,2022-04-14,22.84,-0.5145
EFXT,2023-10-07,s09_short_squeeze_candidate,2023-09-29,31.32,-0.2983
EGHT,2021-07-23,s09_short_squeeze_candidate,2021-07-15,22.06,-0.279
EH,2022-09-08,s09_short_squeeze_candidate,2022-08-31,21.86,-0.4115
EKG,2022-07-08,s09_short_squeeze_candidate,2022-06-30,24.29,-0.3211
ELDN,2021-07-23,s09_short_squeeze_candidate,2021-07-15,23.63,-0.378
ELVN,2023-08-23,s09_short_squeeze_candidate,2023-08-15,70.35,-0.2855
ELVN,2023-11-23,s09_short_squeeze_candidate,2023-11-15,81.93,-0.3667
ENTA,2025-05-23,s09_short_squeeze_candidate,2025-05-15,21.16,-0.3675
EOSE,2021-08-07,s09_short_squeeze_candidate,2021-07-30,23.63,-0.2683
EOSE,2025-04-08,s09_short_squeeze_candidate,2025-03-31,20.1,-0.3893
EP,2024-04-05,s09_short_squeeze_candidate,2024-03-28,20.41,-0.535
EP,2024-07-23,s09_short_squeeze_candidate,2024-07-15,24.99,-0.3098
EP,2025-05-08,s09_short_squeeze_candidate,2025-04-30,48.98,-0.3348
EP,2025-08-08,s09_short_squeeze_candidate,2025-07-31,50.44,-0.2626
EP,2025-11-08,s09_short_squeeze_candidate,2025-10-31,33.71,-0.4625
EP,2026-05-23,s09_short_squeeze_candidate,2026-05-15,32.23,-0.3077
EQ,2022-03-23,s09_short_squeeze_candidate,2022-03-15,25.7,-0.308
EQ,2022-06-23,s09_short_squeeze_candidate,2022-06-15,33.42,-0.3636
EQ,2022-09-23,s09_short_squeeze_candidate,2022-09-15,23.97,-0.3025
ERAS,2022-06-08,s09_short_squeeze_candidate,2022-05-31,28.93,-0.5657
ERAS,2025-01-23,s09_short_squeeze_candidate,2025-01-15,23.21,-0.4056
ERNA,2023-10-21,s09_short_squeeze_candidate,2023-10-13,47.0,-0.2736
ERO,2022-09-08,s09_short_squeeze_candidate,2022-08-31,21.26,-0.259
ESPR,2021-07-08,s09_short_squeeze_candidate,2021-06-30,21.45,-0.2633
ETON,2022-09-23,s09_short_squeeze_candidate,2022-09-15,26.4,-0.2772
EVEX,2024-04-23,s09_short_squeeze_candidate,2024-04-15,22.19,-0.2908
EVI,2022-01-22,s09_short_squeeze_candidate,2022-01-14,21.81,-0.3014
EVI,2022-05-07,s09_short_squeeze_candidate,2022-04-29,24.8,-0.3537
EVLO,2021-08-21,s09_short_squeeze_candidate,2021-08-13,35.62,-0.3741
EVLO,2021-12-08,s09_short_squeeze_candidate,2021-11-30,29.84,-0.2817
EVLO,2022-03-23,s09_short_squeeze_candidate,2022-03-15,26.33,-0.6438
EVLO,2022-10-22,s09_short_squeeze_candidate,2022-10-14,78.74,-0.2857
EVLO,2023-01-21,s09_short_squeeze_candidate,2023-01-13,38.07,-0.3974
EVTV,2024-06-22,s09_short_squeeze_candidate,2024-06-14,20.25,-0.5479
EVTV,2024-10-23,s09_short_squeeze_candidate,2024-10-15,21.6,-0.315
EWTX,2021-08-21,s09_short_squeeze_candidate,2021-08-13,30.54,-0.4409
EWTX,2022-03-23,s09_short_squeeze_candidate,2022-03-15,21.82,-0.4724
EWTX,2023-09-08,s09_short_squeeze_candidate,2023-08-31,48.33,-0.3926
EXOZ,2025-08-23,s09_short_squeeze_candidate,2025-08-15,20.42,-0.3595
EXPI,2023-05-06,s09_short_squeeze_candidate,2023-04-28,25.75,-0.3372
EXPI,2023-10-07,s09_short_squeeze_candidate,2023-09-29,24.73,-0.3574
EYPT,2022-11-08,s09_short_squeeze_candidate,2022-10-31,23.78,-0.5144
FATE,2022-12-08,s09_short_squeeze_candidate,2022-11-30,22.54,-0.285
FBLG,2024-12-21,s09_short_squeeze_candidate,2024-12-13,21.63,-0.4032
FBYD,2025-03-08,s09_short_squeeze_candidate,2025-02-28,24.38,-0.3189
FCUV,2022-10-22,s09_short_squeeze_candidate,2022-10-14,53.56,-0.4571
FCUV,2023-01-21,s09_short_squeeze_candidate,2023-01-13,44.05,-0.53
FCUV,2023-05-06,s09_short_squeeze_candidate,2023-04-28,34.62,-0.5481
FCUV,2025-12-23,s09_short_squeeze_candidate,2025-12-15,22.51,-0.252
FDMT,2024-05-08,s09_short_squeeze_candidate,2024-04-30,22.18,-0.3329
FDMT,2024-09-07,s09_short_squeeze_candidate,2024-08-30,21.96,-0.4498
FEAM,2023-02-08,s09_short_squeeze_candidate,2023-01-31,20.64,-0.2862
FEAM,2023-06-23,s09_short_squeeze_candidate,2023-06-15,22.77,-0.3539
FEAM,2024-02-08,s09_short_squeeze_candidate,2024-01-31,32.0,-0.4387
FEAM,2024-05-23,s09_short_squeeze_candidate,2024-05-15,25.62,-0.2588
FEAM,2024-08-23,s09_short_squeeze_candidate,2024-08-15,30.48,-0.5
FENC,2024-07-23,s09_short_squeeze_candidate,2024-07-15,27.86,-0.3626
FENC,2024-10-23,s09_short_squeeze_candidate,2024-10-15,28.98,-0.306
FHTX,2022-10-22,s09_short_squeeze_candidate,2022-10-14,45.62,-0.5886
FLNA,2026-04-23,s09_short_squeeze_candidate,2026-04-15,22.4,-0.3429
FLWS,2025-05-08,s09_short_squeeze_candidate,2025-04-30,20.11,-0.3916
