ticker,event_date,setup_type,reason,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
AMTM,2024-09-30,s06_index_inclusion,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[28]",2024-10-01,28.25,60.0,,2024-12-26,20.59000015258789,-0.27115043707653486,-0.27415043707653486,True,-0.10299999999999998,True,-0.3509298703831719,0.05225666820673447,-0.3264071052832693
AMTM,2024-09-30,s06_index_inclusion,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[28]",2024-10-01,28.25,90.0,,2025-02-11,20.729999542236328,-0.2661947064695105,-0.2691947064695105,True,-0.10299999999999998,True,-0.3509298703831719,0.05920351194779139,-0.3283982184173019
PLTR,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,37.970001220703125,30.0,,2024-11-05,51.130001068115234,0.3465893975330352,0.3435893975330352,False,0.3435893975330352,False,0.3435893975330352,0.010903257787953091,0.3326861397450821
PLTR,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,37.970001220703125,60.0,,2024-12-18,71.51000213623047,0.8833289396166697,0.8803289396166697,False,0.8803289396166697,False,0.8803289396166697,0.027696001896530875,0.8526329377201388
PLTR,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,37.970001220703125,90.0,,2025-02-04,103.83000183105469,1.7345272186728673,1.7315272186728674,False,1.7315272186728674,False,1.7315272186728674,0.058416313725481395,1.673110904947386
DELL,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,114.78905432128512,30.0,,2024-11-05,130.1023712158203,0.13340398163464684,0.13040398163464684,False,0.13040398163464684,False,0.13040398163464684,0.010903257787953091,0.11950072384669375
DELL,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,114.78905432128512,60.0,,2024-12-18,109.83537292480469,-0.043154649419930635,-0.04615464941993064,False,-0.04615464941993064,False,-0.04615464941993064,0.027696001896530875,-0.07385065131646151
DELL,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,114.78905432128512,90.0,,2025-02-04,99.50908660888672,-0.13311345583204326,-0.13611345583204326,True,-0.10299999999999998,True,-0.07300908874879153,0.058416313725481395,-0.19452976955752466
ERIE,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,524.451191877929,30.0,,2024-11-05,398.16619873046875,-0.24079455839401398,-0.24379455839401398,True,-0.10299999999999998,True,-0.05162606939620307,0.010903257787953091,-0.2546978161819671
ERIE,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,524.451191877929,60.0,,2024-12-18,392.64215087890625,-0.2513275649675757,-0.2543275649675757,True,-0.10299999999999998,True,-0.05162606939620307,0.027696001896530875,-0.28202356686410657
ERIE,2024-09-23,s06_index_inclusion,Market capitalization change.[29],2024-09-24,524.451191877929,90.0,,2025-02-04,394.25286865234375,-0.24825632059177416,-0.25125632059177416,True,-0.10299999999999998,True,-0.05162606939620307,0.058416313725481395,-0.30967263431725556
KKR,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,105.6865360068675,30.0,,2024-08-07,107.46461486816406,0.01682408117890266,0.013824081178902662,False,0.013824081178902662,True,-0.06238567983167509,-0.0465634664190161,0.060387547597918756
KKR,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,105.6865360068675,60.0,,2024-09-19,131.38401794433594,0.24314811430472671,0.2401481143047267,False,0.2401481143047267,True,-0.06238567983167509,0.04961475905419266,0.19053335525053405
KKR,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,105.6865360068675,90.0,,2024-10-31,136.76602172851562,0.29407232837708475,0.29107232837708474,False,0.29107232837708474,True,-0.06238567983167509,0.048519615016982875,0.24255271336010187
CRWD,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,379.75,30.0,,2024-08-07,230.6699981689453,-0.39257406670455486,-0.39557406670455486,True,-0.10299999999999987,True,-0.07362291555157519,-0.0465634664190161,-0.34901060028553876
CRWD,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,379.75,60.0,,2024-09-19,277.3800048828125,-0.2695720740413101,-0.2725720740413101,True,-0.10299999999999987,True,-0.07362291555157519,0.04961475905419266,-0.3221868330955028
CRWD,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,379.75,90.0,,2024-10-31,296.8699951171875,-0.218248860784233,-0.221248860784233,True,-0.10299999999999987,True,-0.07362291555157519,0.048519615016982875,-0.2697684758012159
GDDY,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,138.97999572753906,30.0,,2024-08-07,152.75999450683594,0.0991509512369797,0.0961509512369797,False,0.0961509512369797,False,0.0961509512369797,-0.0465634664190161,0.1427144176559958
