ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
STKS,2025-11-08,s09_short_squeeze_candidate,2025-10-31,23.0,-0.2724,2025-11-11,1.850000023841858,90,2026-03-24,1.7799999713897705,-0.03783786570268233,-0.04083786570268233,True,-0.10299999999999998,False,-0.04083786570268233,-0.03390068359236309,-0.00693718211031924,
STOK,2023-09-08,s09_short_squeeze_candidate,2023-08-31,23.98,-0.5933,2023-09-11,5.309999942779541,30,2023-10-23,3.619999885559082,-0.31826743416796,-0.32126743416796,True,-0.10299999999999998,True,-0.12451987386810826,-0.0586671050757428,-0.2626003290922172,
STOK,2023-09-08,s09_short_squeeze_candidate,2023-08-31,23.98,-0.5933,2023-09-11,5.309999942779541,60,2023-12-05,4.130000114440918,-0.22222219228894136,-0.22522219228894136,True,-0.10299999999999998,True,-0.12451987386810826,0.0222438707711885,-0.24746606306012986,
STOK,2023-09-08,s09_short_squeeze_candidate,2023-08-31,23.98,-0.5933,2023-09-11,5.309999942779541,90,2024-01-19,4.929999828338623,-0.0715631108353657,-0.07456311083536571,True,-0.10299999999999998,True,-0.12451987386810826,0.08445153708066244,-0.15901464791602815,
STOK,2023-12-08,s09_short_squeeze_candidate,2023-11-30,21.57,-0.3159,2023-12-11,4.71999979019165,30,2024-01-25,4.840000152587891,0.025423806722535414,0.022423806722535414,False,0.022423806722535414,False,0.022423806722535414,0.06595440317230938,-0.04353059644977397,
STOK,2023-12-08,s09_short_squeeze_candidate,2023-11-30,21.57,-0.3159,2023-12-11,4.71999979019165,60,2024-03-08,7.570000171661377,0.6038136669819651,0.6008136669819651,True,-0.10299999999999998,False,0.6008136669819651,0.11769834787056244,0.4831153191114027,
STOK,2023-12-08,s09_short_squeeze_candidate,2023-11-30,21.57,-0.3159,2023-12-11,4.71999979019165,90,2024-04-22,11.25,1.3834746822188326,1.3804746822188327,True,-0.10299999999999998,False,1.3804746822188327,0.09487918489657021,1.2855954973222625,
STRR,2023-01-21,s09_short_squeeze_candidate,2023-01-13,33.81,-0.3169,2023-01-24,25.530000686645508,30,2023-03-08,23.989999771118164,-0.060321224994439704,-0.0633212249944397,False,-0.0633212249944397,False,-0.0633212249944397,0.0001001602860351003,-0.0634213852804748,
STRR,2023-01-21,s09_short_squeeze_candidate,2023-01-13,33.81,-0.3169,2023-01-24,25.530000686645508,60,2023-04-20,21.579999923706055,-0.15471996305137825,-0.15771996305137825,True,-0.10299999999999987,True,-0.10290109762291044,0.03653208292988919,-0.19425204598126744,
STRR,2023-01-21,s09_short_squeeze_candidate,2023-01-13,33.81,-0.3169,2023-01-24,25.530000686645508,90,2023-06-02,20.510000228881836,-0.19663142666461364,-0.19963142666461364,True,-0.10299999999999987,True,-0.10290109762291044,0.07689797694042833,-0.27652940360504197,
STRS,2023-01-21,s09_short_squeeze_candidate,2023-01-13,23.81,-0.2703,2023-01-24,21.450000762939453,30,2023-03-08,21.219999313354492,-0.010722677920942059,-0.013722677920942058,False,-0.013722677920942058,False,-0.013722677920942058,0.0001001602860351003,-0.013822838206977158,
STRS,2023-01-21,s09_short_squeeze_candidate,2023-01-13,23.81,-0.2703,2023-01-24,21.450000762939453,60,2023-04-20,20.989999771118164,-0.021445266921205075,-0.024445266921205074,True,-0.10299999999999987,True,-0.08005691130262271,0.03653208292988919,-0.060977349851094265,
STRS,2023-01-21,s09_short_squeeze_candidate,2023-01-13,23.81,-0.2703,2023-01-24,21.450000762939453,90,2023-06-02,22.700000762939453,0.0582750562023151,0.0552750562023151,True,-0.10299999999999987,True,-0.08005691130262271,0.07689797694042833,-0.021622920738113227,
STTK,2023-08-08,s09_short_squeeze_candidate,2023-07-31,22.42,-0.3033,2023-08-09,2.6459999084472656,30,2023-09-21,1.5299999713897705,-0.4217686982885762,-0.4247686982885762,True,-0.10299999999999987,True,-0.17137932188226146,-0.03589590549195121,-0.388872792796625,
STTK,2023-08-08,s09_short_squeeze_candidate,2023-07-31,22.42,-0.3033,2023-08-09,2.6459999084472656,60,2023-11-02,1.6399999856948853,-0.38019650701451635,-0.38319650701451635,True,-0.10299999999999987,True,-0.17137932188226146,-0.03730377999719692,-0.34589272701731943,
STTK,2023-08-08,s09_short_squeeze_candidate,2023-07-31,22.42,-0.3033,2023-08-09,2.6459999084472656,90,2023-12-15,6.610000133514404,1.4981104921478647,1.4951104921478648,True,-0.10299999999999987,True,-0.17137932188226146,0.05314797715001385,1.441962514997851,
STTK,2024-08-23,s09_short_squeeze_candidate,2024-08-15,20.47,-0.5843,2024-08-26,3.549999952316284,30,2024-10-08,1.2599999904632568,-0.6450704204541922,-0.6480704204541922,True,-0.10299999999999998,True,-0.15594405491902896,0.020860180164742337,-0.6689306006189345,
